name|weight|mass|A|d|b|t|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|ro|H
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|
2L3-1/2X3-1/2X1/2X3/8|22.2|22.2|6.50|3.50|3.50|0.500|1.05|0.464|7.26|5.32|2.96|1.05|17.3|8.04|4.69|1.63|2.10|0.854
2L3-1/2X3-1/2X1/2X3/4|22.2|22.2|6.50|3.50|3.50|0.500|1.05|0.464|7.26|5.32|2.96|1.05|20.4|9.26|5.26|1.77|2.21|0.869
2L3-1/2X3-1/2X7/16|19.6|19.6|5.78|3.50|3.50|0.438|1.03|0.413|6.50|4.72|2.64|1.06|12.7|5.95|3.63|1.48|1.99|0.835
2L3-1/2X3-1/2X7/16X3/8|19.6|19.6|5.78|3.50|3.50|0.438|1.03|0.413|6.50|4.72|2.64|1.06|15.0|7.04|4.07|1.61|2.09|0.851
2L3-1/2X3-1/2X7/16X3/4|19.6|19.6|5.78|3.50|3.50|0.438|1.03|0.413|6.50|4.72|2.64|1.06|17.9|8.12|4.62|1.76|2.21|0.866
2L3-1/2X3-1/2X3/8|17.0|17.0|5.00|3.50|3.50|0.375|1.00|0.357|5.72|4.12|2.30|1.07|10.8|5.00|3.09|1.47|1.99|0.832
2L3-1/2X3-1/2X3/8X3/8|17.0|17.0|5.00|3.50|3.50|0.375|1.00|0.357|5.72|4.12|2.30|1.07|12.8|5.94|3.47|1.60|2.09|0.848
2L3-1/2X3-1/2X3/8X3/4|17.0|17.0|5.00|3.50|3.50|0.375|1.00|0.357|5.72|4.12|2.30|1.07|15.1|6.88|3.90|1.74|2.20|0.863
2L3-1/2X3-1/2X5/16|14.4|14.4|4.20|3.50|3.50|0.313|0.979|0.300|4.88|3.48|1.94|1.08|8.95|4.11|2.56|1.46|1.99|0.829
2L3-1/2X3-1/2X5/16X3/8|14.4|14.4|4.20|3.50|3.50|0.313|0.979|0.300|4.88|3.48|1.94|1.08|10.6|4.90|2.87|1.59|2.09|0.845
2L3-1/2X3-1/2X5/16X3/4|14.4|14.4|4.20|3.50|3.50|0.313|0.979|0.300|4.88|3.48|1.94|1.08|12.6|5.69|3.25|1.73|2.20|0.860
2L3-1/2X3-1/2X1/4|11.6|11.6|3.40|3.50|3.50|0.250|0.954|0.243|4.00|2.82|1.57|1.09|7.05|3.24|2.01|1.44|1.99|0.826
2L3-1/2X3-1/2X1/4X3/8|11.6|11.6|3.40|3.50|3.50|0.250|0.954|0.243|4.00|2.82|1.57|1.09|8.38|3.88|2.27|1.57|2.08|0.842
2L3-1/2X3-1/2X1/4X3/4|11.6|11.6|3.40|3.50|3.50|0.250|0.954|0.243|4.00|2.82|1.57|1.09|10.1|4.52|2.61|1.72|2.19|0.857
2L3X3X1/2|18.8|18.8|5.52|3.00|3.00|0.500|0.929|0.460|4.40|3.82|2.12|0.895|9.19|5.13|3.06|1.29|1.71|0.842
2L3X3X1/2X3/8|18.8|18.8|5.52|3.00|3.00|0.500|0.929|0.460|4.40|3.82|2.12|0.895|11.3|6.16|3.55|1.43|1.82|0.861
2L3X3X1/2X3/4|18.8|18.8|5.52|3.00|3.00|0.500|0.929|0.460|4.40|3.82|2.12|0.895|13.8|7.20|4.09|1.58|1.94|0.878
2L3X3X7/16|16.6|16.6|4.86|3.00|3.00|0.438|0.907|0.405|3.96|3.40|1.89|0.903|7.96|4.41|2.65|1.28|1.71|0.838
2L3X3X7/16X3/8|16.6|16.6|4.86|3.00|3.00|0.438|0.907|0.405|3.96|3.40|1.89|0.903|9.80|5.32|3.07|1.42|1.82|0.857
2L3X3X7/16X3/4|16.6|16.6|4.86|3.00|3.00|0.438|0.907|0.405|3.96|3.40|1.89|0.903|12.0|6.23|3.56|1.57|1.94|0.874
2L3X3X3/8|14.4|14.4|4.22|3.00|3.00|0.375|0.884|0.352|3.50|2.96|1.65|0.910|6.81|3.73|2.27|1.27|1.71|0.834
2L3X3X3/8X3/8|14.4|14.4|4.22|3.00|3.00|0.375|0.884|0.352|3.50|2.96|1.65|0.910|8.39|4.52|2.63|1.41|1.81|0.853
2L3X3X3/8X3/4|14.4|14.4|4.22|3.00|3.00|0.375|0.884|0.352|3.50|2.96|1.65|0.910|10.1|5.31|2.99|1.55|1.93|0.870
2L3X3X5/16|12.2|12.2|3.56|3.00|3.00|0.313|0.860|0.297|3.00|2.52|1.40|0.918|5.65|3.06|1.88|1.26|1.71|0.830
2L3X3X5/16X3/8|12.2|12.2|3.56|3.00|3.00|0.313|0.860|0.297|3.00|2.52|1.40|0.918|6.88|3.73|2.16|1.39|1.81|0.849
2L3X3X5/16X3/4|12.2|12.2|3.56|3.00|3.00|0.313|0.860|0.297|3.00|2.52|1.40|0.918|8.44|4.40|2.50|1.54|1.93|0.866
2L3X3X1/4|9.80|9.80|2.88|3.00|3.00|0.250|0.836|0.240|2.46|2.04|1.14|0.926|4.50|2.41|1.50|1.25|1.71|0.827
2L3X3X1/4X3/8|9.80|9.80|2.88|3.00|3.00|0.250|0.836|0.240|2.46|2.04|1.14|0.926|5.48|2.95|1.72|1.38|1.81|0.845
2L3X3X1/4X3/4|9.80|9.80|2.88|3.00|3.00|0.250|0.836|0.240|2.46|2.04|1.14|0.926|6.65|3.49|1.97|1.52|1.92|0.863
2L3X3X3/16|7.42|7.42|2.18|3.00|3.00|0.188|0.812|0.182|1.90|1.55|0.866|0.933|3.35|1.77|1.12|1.24|1.71|0.823
