name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
W36X194|194|194|57.0|36.5|12.1|0.765|1.26|2.01|12100|767|664|14.6|375|97.7|61.9|2.56|22.2|116000|107|407|126|379|3.15|31.5|5.5
W36X182|182|182|53.6|36.3|12.1|0.725|1.18|1.93|11300|718|623|14.5|347|90.7|57.6|2.55|18.5|107000|106|378|118|355|3.13|31.5|5.5
W36X170|170|170|50.0|36.2|12.0|0.680|1.10|1.85|10500|668|581|14.5|320|83.8|53.2|2.53|15.1|98500|105|349|109|330|3.11|31.5|5.5
W36X160|160|160|47.0|36.0|12.0|0.650|1.02|1.77|9760|624|542|14.4|295|77.3|49.1|2.50|12.4|90200|105|321|101|308|3.09|31.5|5.5
W36X150|150|150|44.3|35.9|12.0|0.625|0.940|1.69|9040|581|504|14.3|270|70.9|45.1|2.47|10.1|82200|105|294|93.1|287|3.06|31.5|5.5
W36X135|135|135|39.9|35.6|12.0|0.600|0.790|1.54|7800|509|439|14.0|225|59.7|37.7|2.38|7.00|68100|104|245|77.9|251|2.99|31.5|5.5
W33X387|387|387|114|36.0|16.2|1.26|2.28|3.07|24300|1560|1350|14.6|1620|312|200|3.77|148|459000|137|1260|287|778|4.49|28.875|5.5
W33X354|354|354|104|35.6|16.1|1.16|2.09|2.88|22000|1420|1240|14.5|1460|282|181|3.74|115|408000|135|1130|262|707|4.44|28.875|5.5
W33X318|318|318|93.7|35.2|16.0|1.04|1.89|2.68|19500|1270|1110|14.5|1290|250|161|3.71|84.4|357000|133|1010|235|632|4.40|28.875|5.5
W33X291|291|291|85.6|34.8|15.9|0.960|1.73|2.52|17700|1160|1020|14.4|1160|226|146|3.68|65.1|319000|131|904|214|573|4.34|28.875|5.5
W33X263|263|263|77.4|34.5|15.8|0.870|1.57|2.36|15900|1040|919|14.3|1040|202|131|3.66|48.7|281000|130|807|193|515|4.31|28.875|5.5
W33X241|241|241|71.1|34.2|15.9|0.830|1.40|2.19|14200|940|831|14.1|933|182|118|3.62|36.2|251000|130|726|173|467|4.29|28.875|5.5
W33X221|221|221|65.3|33.9|15.8|0.775|1.28|2.06|12900|857|759|14.1|840|164|106|3.59|27.8|224000|129|647|156|423|4.25|28.875|5.5
W33X201|201|201|59.1|33.7|15.7|0.715|1.15|1.94|11600|773|686|14.0|749|147|95.2|3.56|20.8|198000|128|577|140|382|4.21|28.875|5.5
W33X169|169|169|49.5|33.8|11.5|0.670|1.22|1.92|9290|629|549|13.7|310|84.4|53.9|2.50|17.7|82400|93.7|329|108|311|3.03|28.875|5.5
W33X152|152|152|44.9|33.5|11.6|0.635|1.06|1.76|8160|559|487|13.5|273|73.9|47.2|2.47|12.4|71700|94.1|289|94.3|278|3.01|28.875|5.5
W33X141|141|141|41.5|33.3|11.5|0.605|0.960|1.66|7450|514|448|13.4|246|66.9|42.7|2.43|9.70|64400|93.0|257|84.6|253|2.98|28.875|5.5
W33X130|130|130|38.3|33.1|11.5|0.580|0.855|1.56|6710|467|406|13.2|218|59.5|37.9|2.39|7.37|56600|92.7|228|75.3|230|2.94|28.875|5.5
